Run ID;Attributor;Level;Lambda;Max EPG;Max Concept F1;Max Label F1
0ro02ahu;GradCamAttributor;image;0.05;0.3160261607170105;0.9883157320091013;0.9931428571428571
1budbxs6;GradCamPlusPlusAttributor;concept;0.001;0.6080375281969707;0.989249969585127;0.9863333333333333
1lmwbjkm;GradCamAttributor;image;1.0;0.25596435070037843;0.9830166510334829;0.986031746031746
2e4yghk4;GradCamAttributor;image;0.1;0.27938688357671104;0.9904658349612301;0.987030303030303
3gnhxjsw;GradCamAttributor;concept;1.0;0.5607208553949992;0.9919708529711703;0.987030303030303
44xnvjn2;GradCamPlusPlusAttributor;concept;0.05;0.5990242942174275;0.9953931278956589;0.9933333333333333
4u2dlwgt;GradCamPlusPlusAttributor;concept;1.0;0.5467839582761129;0.9914104578737238;0.9933333333333333
5ffhnqjw;GradCamAttributor;concept;0.001;0.614178630510966;0.9883386275341292;0.9864761904761904
863wpj48;InputTimesGradientAttributor;image;1.0;0.12603943506876628;0.9790285043564761;0.9866666666666667
9yfo2s9r;InputTimesGradientAttributor;image;0.01;0.6380015317598978;0.9871459986849901;0.9866666666666667
a5hf3w3g;GradCamPlusPlusAttributor;image;0.01;0.5077855587005615;0.9908653279096199;0.9931428571428571
a7bjqz8p;InputTimesGradientAttributor;concept;0.1;0.6429550035794576;0.98466542312802;0.9864761904761904
aucrqqm8;InputTimesGradientAttributor;concept;0.01;0.6725981307029724;0.9815036088734038;0.9805117845117847
cfennlan;InputTimesGradientAttributor;concept;0.001;0.6639376600583394;0.9856654883958846;0.9864761904761904
d0v23mpu;GradCamAttributor;concept;0.5;0.55617076476415;0.9913760089274379;0.9933333333333333
de9qcbh0;GradCamAttributor;concept;0.05;0.5895393363634746;0.9900486725330487;1.0
fe477hlh;GradCamAttributor;image;0.001;0.5992448528607687;0.9946643264589733;0.9930370370370369
htcc0kwi;InputTimesGradientAttributor;concept;0.5;0.4344479028383891;0.9885230692651036;0.9801731601731601
i9n0x136;GradCamAttributor;image;0.01;0.4835469031333923;0.9931235889729962;0.9933333333333333
ilitmklq;GradCamAttributor;concept;0.01;0.6097861703236898;0.9891117774795455;0.9933333333333333
k3lpeala;InputTimesGradientAttributor;image;0.001;0.702757051785787;0.9883418922015318;0.9863333333333333
k6jzkq4a;GradCamPlusPlusAttributor;concept;0.01;0.6240537889798482;0.9903503249372131;0.9864761904761904
k6mjwiml;InputTimesGradientAttributor;image;0.5;0.09924588600794475;0.9788758592174683;0.9931428571428571
kdsomdow;InputTimesGradientAttributor;image;0.05;0.3619550196329753;0.9859667651841953;0.9933333333333333
n1qda4k3;GradCamPlusPlusAttributor;image;1.0;0.2551246118545532;0.993310303762897;0.9868398268398269
o9u3ze28;GradCamPlusPlusAttributor;image;0.5;0.25756786823272704;0.9851557540754086;0.9864761904761904
oddprsct;GradCamPlusPlusAttributor;image;0.005;0.5671654645601908;0.9857920185047765;0.9930370370370369
on4tbj3r;InputTimesGradientAttributor;concept;0.005;0.7029995997746785;0.9902157337491102;0.9931428571428571
p9jnncvj;GradCamAttributor;concept;0.005;0.6079718780517578;0.9884637372807846;1.0
pc1fx3et;InputTimesGradientAttributor;concept;1.0;0.2964433232943217;0.9749008461810568;0.9931428571428571
r2rrribv;InputTimesGradientAttributor;concept;0.05;0.6760126566886902;0.9885519080555633;0.9864761904761904
r7dwy19m;GradCamPlusPlusAttributor;image;0.1;0.2998764713605245;0.9909958811637671;0.9933333333333333
r9j7rq3s;GradCamPlusPlusAttributor;concept;0.005;0.6105367350578308;0.9881713199103307;0.9860317460317461
r9xh52xn;InputTimesGradientAttributor;image;0.005;0.6714452441533406;0.9866545220854418;0.9931428571428571
rlohaqqx;InputTimesGradientAttributor;image;0.1;0.23989662488301594;0.9792793382022904;0.9864761904761904
s3mk8fse;GradCamPlusPlusAttributor;image;0.05;0.35048932234446206;0.991208413902435;0.9933333333333333
s8wplufd;GradCamPlusPlusAttributor;image;0.001;0.6037270800272624;0.9910805991548994;0.9866200466200465
uvol1o86;GradCamAttributor;concept;0.1;0.5763661177953084;0.9974924436742201;1.0
vfkozble;GradCamAttributor;image;0.005;0.5540429298082987;0.9933979620999099;0.9931428571428571
vwenf5cx;GradCamPlusPlusAttributor;concept;0.1;0.5790602310498556;0.9922460578946845;0.9864761904761904
w0q9j9pa;GradCamAttributor;image;0.5;0.2597435887654622;0.9863889791230472;0.9867724867724867
yy64h3oe;GradCamPlusPlusAttributor;concept;0.5;0.5493473307291666;0.9930881865996425;0.9930370370370369
